USW00014739,20130127,TMIN,-100,,,X,2400
USW00014739,20130127,PRCP,0,,,X,2400
USW00014739,20130127,SNOW,0,,,X,
USW00014739,20130127,AWND,62,,,X,
USW00014739,20130127,WDF2,330,,,X,
USW00014739,20130127,WDF5,310,,,X,
USW00014739,20130127,WSF2,103,,,X,
USW00014739,20130127,WSF5,161,,,X,
USW00014739,20130128,TMAX,-6,,,X,2400
USW00014739,20130128,TMIN,-61,,,X,2400
USW00014739,20130128,PRCP,43,,,X,2400
USW00014739,20130128,SNOW,25,,,X,
USW00014739,20130128,AWND,25,,,X,
USW00014739,20130128,WDF2,180,,,X,
USW00014739,20130128,WDF5,210,,,X,
USW00014739,20130128,WSF2,58,,,X,
USW00014739,20130128,WSF5,67,,,X,
USW00014739,20130128,WT04,1,,,X,
USW00014739,20130128,WT14,1,,,X,
USW00014739,20130128,WT16,1,,,X,
USW00014739,20130128,WT18,1,,,X,
USW00014739,20130129,TMAX,11,,,X,2400
USW00014739,20130129,TMIN,-28,,,X,2400
USW00014739,20130129,PRCP,3,,,X,2400
USW00014739,20130129,SNOW,3,,,X,
USW00014739,20130129,AWND,20,,,X,
USW00014739,20130129,WDF2,340,,,X,
USW00014739,20130129,WDF5,330,,,X,
USW00014739,20130129,WSF2,45,,,X,
USW00014739,20130129,WSF5,63,,,X,
USW00014739,20130129,WT01,1,,,W,
USW00014739,20130129,WT13,1,,,X,
USW00014739,20130129,WT14,1,,,X,
USW00014739,20130129,WT16,1,,,X,
USW00014739,20130129,WT18,1,,,X,
USW00014739,20130130,TMAX,156,,,X,2400
USW00014739,20130130,TMIN,6,,,X,2400
USW00014739,20130130,PRCP,15,,,X,2400
USW00014739,20130130,SNOW,0,,,X,
USW00014739,20130130,AWND,65,,,X,
USW00014739,20130130,WDF2,210,,,X,
USW00014739,20130130,WDF5,220,,,X,
USW00014739,20130130,WSF2,134,,,X,
USW00014739,20130130,WSF5,183,,,X,
USW00014739,20130130,WT01,1,,,W,
USW00014739,20130130,WT13,1,,,X,
USW00014739,20130130,WT14,1,,,X,
USW00014739,20130130,WT16,1,,,X,
USW00014739,20130131,TMAX,156,,,X,2400
